GHI_inst,timestamp
738.75,29/08/23 02:00
740.4245,29/08/23 02:05
742.7885,29/08/23 02:10
748.206,29/08/23 02:15
753.2295,29/08/23 02:20
768.694,29/08/23 02:25
771.3535,29/08/23 02:30
712.549,29/08/23 02:35
737.0755,29/08/23 02:40
737.8635,29/08/23 02:45
682.7035,29/08/23 02:50
742.099,29/08/23 02:55
739.341,29/08/23 03:00
