WS_avg,WD_avg,timestamp
2.366,183.1,29/08/23 02:00
2.234,210.4,29/08/23 02:05
2.547,224.2,29/08/23 02:10
2.318,228.6,29/08/23 02:15
2.618,188.6,29/08/23 02:20
1.86,203.9,29/08/23 02:25
2.375,237.8,29/08/23 02:30
2.079,260.1,29/08/23 02:35
2.098,234.1,29/08/23 02:40
1.99,214.4,29/08/23 02:45
2.21,270,29/08/23 02:50
2.313,230.2,29/08/23 02:55
1.892,187.6,29/08/23 03:00
