GHI_inst,timestamp
750,29/08/23 02:00
751.7,29/08/23 02:05
754.1,29/08/23 02:10
759.6,29/08/23 02:15
764.7,29/08/23 02:20
780.4,29/08/23 02:25
783.1,29/08/23 02:30
723.4,29/08/23 02:35
748.3,29/08/23 02:40
749.1,29/08/23 02:45
693.1,29/08/23 02:50
753.4,29/08/23 02:55
750.6,29/08/23 03:00
